video_id,title,published_at,views,likes,comments
Jf98JkikSzA,எந்திரன் மரணம்? 😲 - ROBOT De@th Uruttu🤖,2024-07-12T11:30:08Z,507860,46779,1650
uZhLvzGU4u0,@Tharunkumar_ -கு Shock ⚡ குடுத்த PC Doc | Tharun Shocked 🔌 PC Doc Rocked 😎,2024-07-09T12:44:05Z,1525596,156568,441
v6BZ0WAUMRs,*த்தா Camera குடுடா - Richie Street Problem 🤯,2024-07-07T06:00:31Z,1651329,85976,5703
UOoSiXbKeAQ,Hamster Kombat - கோடிகளில் வருமானம்?💰💲,2024-07-05T12:30:05Z,1378213,74447,3047
40etjxD1Gas,Jio & Airtel Price Hike Roast 🤯💲 - இந்த அநியாயம் பண்றீங்களேடா 👿,2024-07-03T11:11:23Z,988242,70751,3561
ArcUtaYDH8s,15 Lakh Medical Crowd Funding SCAM?⚠️- இப்படிலாமாடா பண்ணுவீங்க ? 😑,2024-06-30T06:18:49Z,549832,54075,4085
D9c5ZHl1ShE,Laptop பாவங்கள் 😂| படிக்காத தற்குறி பயலே ft @Tharunkumar_ 😅,2024-06-29T12:21:22Z,725375,42754,1663
NxQwFn0WVvw,Apple Vision Pro Dead - அவன் செத்துட்டாண்டா! 💀 | After 3 Months Review 🔥,2024-06-26T11:30:56Z,591038,41186,1348
ATfWjf7GfAU,Macbook உள்ள என்ன இருக்கு? 🤯| Apple Macbook Re-assemble 🔧🛠,2024-06-25T12:56:41Z,1105981,94090,355
Mr8_rJ2v6p8,How I Made My First ₹1 CRORE! 🔥 - கோடியில் புரளும் PC Doc 🤑,2024-06-23T06:00:08Z,840787,59849,1888
rAICC2ZUyW0,Apple Macbook P0$TMortem? 💀 - உள்ள என்ன இருக்கு? 🤯,2024-06-21T11:30:24Z,502858,71722,1242
rmRzM0uB2Ls,EVM is Hackable? 🤔| தேர்தல் ஊழல்? 🤯 -  Anything Can be HACKED!,2024-06-18T13:58:33Z,517481,33113,1846
VYe1kNZ4UzY,Sixpack Challenge 🔥 ft  @Tharunkumar_ | 6 Months'la SIXPACK-ஆ 🤯,2024-06-16T06:00:22Z,685885,48495,1485
